timestamp,action,user_name,log_details,ip
2026-05-27 16:11:35,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 16:00:05,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 15:49:51,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 15:30:04,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 15:04:14,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 14:42:24,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 13:06:23,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 12:02:38,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-26 16:03:04,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-26 15:28:27,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-26 15:16:29,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-26 14:40:45,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.149.114
2026-05-26 10:15:41,logout,Admin,{"method":"manual"},::1
2026-05-26 09:51:40,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-26 06:58:06,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-26 06:43:52,login,user1,"{""method"":""password"",""remember_me"":false}",37.239.146.3
2026-05-25 18:50:01,logout,Admin,{"method":"manual"},37.111.155.176
2026-05-25 18:48:49,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.155.176
2026-05-25 11:50:31,cleanup,system,{"timestamp":"2026-05-25T11:50:31.181Z"},
2026-05-25 05:46:40,cleanup,system,{"timestamp":"2026-05-25T05:46:40.950Z"},
2026-05-24 18:20:25,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.143.61
2026-05-24 18:07:01,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-24 17:52:22,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.143.61
